CustomerID,TransactionDate,Amount,Category
1001,2026-01-29,1540.97,Grocery
1001,2025-09-08,1789.03,Grocery
1001,2025-01-07,1782.12,Home
1001,2025-12-01,1908.94,Fashion
1001,2025-06-06,1633.03,Electronics
1001,2025-11-01,1642.69,Home
1001,2025-06-01,1280.79,Electronics
1002,2024-12-21,1706.04,Home
1002,2025-10-03,1592.57,Home
1002,2024-09-21,1438.33,Home
1002,2024-11-22,1577.02,Electronics
1002,2025-10-26,1477.67,Fashion
1002,2025-03-19,1572.8,Fashion
1002,2025-04-30,1661.53,Electronics
1002,2025-05-06,1679.37,Home
1002,2024-11-18,1386.43,Home
1003,2024-09-26,7783.31,Fashion
1003,2024-09-22,9883.64,Fashion
1003,2024-12-20,9568.62,Home
1003,2025-01-04,9063.31,Grocery
1003,2025-08-02,8807.56,Home
1003,2025-05-08,8642.3,Grocery
1003,2026-02-17,9321.22,Home
1003,2025-03-27,8987.17,Electronics
1003,2026-03-01,8159.07,Electronics
1003,2024-11-06,8453.2,Home
1003,2025-12-03,9429.31,Grocery
1003,2025-02-16,9701.64,Electronics
1003,2025-03-28,8726.01,Electronics
1003,2026-03-14,8355.05,Grocery
1003,2025-09-22,7566.75,Home
1003,2024-11-24,9890.46,Grocery
1003,2024-09-14,9961.8,Home
1003,2024-04-15,8110.25,Grocery
1003,2024-10-11,7985.84,Fashion
1003,2024-07-07,8843.06,Electronics
1003,2026-04-06,10243.13,Grocery
1003,2025-03-14,9211.95,Grocery
1003,2026-03-27,8776.47,Grocery
1004,2026-01-05,8811.93,Home
1004,2024-12-12,9232.45,Grocery
1004,2024-10-17,8295.47,Home
1004,2024-11-02,9546.77,Fashion
1004,2024-09-10,9337.35,Fashion
1004,2024-10-01,9158.41,Home
1004,2026-03-14,9445.32,Home
1004,2024-10-02,10692.63,Home
1004,2024-11-21,9549.17,Grocery
1004,2025-04-28,10459.95,Electronics
1004,2025-03-30,9504.24,Grocery
1004,2024-07-17,10042.53,Grocery
1004,2024-05-01,10008.33,Home
1004,2025-02-24,8373.19,Grocery
1004,2025-08-20,9343.42,Home
1004,2024-06-16,9596.39,Home
1005,2024-11-30,2553.69,Fashion
1005,2024-09-24,2655.27,Grocery
1005,2025-12-19,2195.66,Electronics
1005,2024-07-25,2438.72,Grocery
1005,2025-08-29,2539.18,Electronics
1005,2025-03-04,2537.49,Fashion
1006,2025-01-27,1308.46,Grocery
1006,2025-10-09,1179.13,Home
1007,2024-11-16,3212.73,Home
1007,2025-11-18,3359.73,Fashion
1007,2025-01-02,3860.38,Electronics
1007,2024-06-20,3146.51,Fashion
1008,2024-04-30,2231.28,Home
1008,2024-12-08,2174.49,Fashion
1008,2024-07-09,2765.82,Grocery
1008,2024-12-24,2443.91,Fashion
1008,2024-08-08,2049.0,Grocery
1009,2024-09-16,4959.64,Home
1009,2026-04-02,5175.89,Electronics
1009,2026-01-02,5330.93,Home
1009,2025-11-10,5161.16,Fashion
1010,2024-07-25,1390.52,Electronics
1010,2025-05-08,1254.42,Fashion
1011,2025-11-01,1896.16,Home
1011,2024-11-23,1824.36,Home
1011,2025-03-15,1977.61,Electronics
1011,2024-05-23,2075.5,Home
1011,2024-12-27,1728.33,Fashion
1011,2025-08-24,1742.31,Electronics
1011,2024-09-25,1949.57,Fashion
1012,2024-12-16,3581.22,Electronics
1012,2024-06-21,3797.09,Home
1012,2026-03-25,3438.85,Home
1013,2024-11-09,769.88,Electronics
1014,2025-10-02,4738.68,Electronics
1014,2025-11-01,4003.46,Electronics
1014,2024-09-22,4185.72,Fashion
1014,2025-05-23,4022.08,Home
1014,2024-06-17,4479.86,Fashion
1014,2024-07-11,4878.58,Electronics
1015,2025-10-17,1208.66,Grocery
1016,2025-02-27,2685.54,Electronics
1016,2026-03-06,2912.72,Electronics
1016,2026-03-22,3035.68,Home
1016,2024-06-26,2943.88,Home
1016,2024-12-26,2697.44,Home
1016,2024-04-14,2569.44,Grocery
1016,2026-02-19,3299.25,Electronics
1016,2025-11-12,2178.86,Fashion
1016,2024-09-18,2552.69,Home
1017,2024-07-30,2313.35,Electronics
1017,2025-12-29,2584.57,Grocery
1017,2024-06-24,2470.74,Electronics
1017,2025-04-06,1663.69,Electronics
1017,2025-12-12,2125.07,Grocery
1017,2024-08-15,1907.27,Fashion
1017,2025-12-15,2261.41,Fashion
1018,2024-07-09,1148.77,Fashion
1019,2024-12-09,3735.75,Electronics
1019,2025-07-13,4682.01,Electronics
1019,2025-08-07,3945.91,Grocery
1019,2026-01-25,3401.72,Fashion
1019,2024-05-14,3946.73,Electronics
1019,2025-09-03,4029.63,Home
1019,2025-09-05,4157.27,Fashion
1019,2025-02-03,3646.46,Fashion
1020,2026-01-01,1323.0,Fashion
1020,2025-10-13,1364.07,Fashion
1020,2024-08-11,1021.05,Electronics
1020,2025-05-21,1308.2,Home
1020,2025-07-27,1376.37,Electronics
1020,2025-11-02,1205.77,Fashion
1020,2024-06-05,1271.18,Home
1020,2024-10-13,1446.54,Electronics
1020,2025-07-17,959.5,Grocery
1021,2024-10-02,1281.25,Fashion
1021,2025-08-01,1307.06,Grocery
1022,2024-08-14,1209.04,Home
1022,2024-11-26,1393.91,Fashion
1022,2024-12-04,1342.39,Home
1022,2025-03-13,1274.64,Electronics
1022,2025-01-09,1525.06,Grocery
1022,2024-10-10,1501.62,Fashion
1022,2026-01-05,1355.04,Electronics
1022,2025-04-07,1258.78,Grocery
1022,2024-11-02,1173.93,Fashion
1023,2024-04-12,1075.35,Fashion
